,id_user,ds,n_searches,n_nights,n_guests_min,n_guests_max,origin_country,filter_price_min,filter_price_max,filter_room_types,filter_neighborhoods
0,0000af0a-6f26-4233-9832-27efbfb36148,"2014-10-05, 2014-10-01",9.666666666666666,5.333333333333333,1.6666666666666667,2.0,IE,0.0,79.33333333333333,",Entire home/apt,Entire home/apt,Private room,Private room",
1,00058bcf-8950-4481-a977-d08b42d1fce5,2014-10-14,8.0,,1.0,1.0,DE,0.0,70.0,",Entire home/apt",
2,000ab7fb-dbac-414f-9080-88f265e2243e,2014-10-13,1.0,2.0,2.0,2.0,US,,,Entire home/apt,
3,000b7ff7-47ea-48d3-9b09-1edd150acb02,2014-10-02,1.0,,1.0,1.0,FR,,,,
4,000c5621-b577-465d-be91-75254d75cc68,2014-10-14,12.5,19.0,1.5,1.5,RU,0.0,74.0,,
5,000c7402-d8b9-4663-8833-4756f59e08d9,2014-10-07,2.0,1.0,1.0,1.5,GB,,,",Entire home/apt",
6,000cd9d3-e05b-4016-9e09-34a6f8ba2fc5,2014-10-01,6.0,2.0,1.0,1.5,GB,,,",Entire home/apt",
7,000dfad9-459b-4f0b-8310-3d6ab34e4f57,2014-10-04,6.0,2.0,2.0,2.0,CA,0.0,130.0,",Entire home/apt",
8,001132f1-86ab-474e-9221-f34d525e81ee,2014-10-08,4.0,,1.0,2.0,DE,0.0,345.0,,
9,001481b7-0d51-4083-a6fc-c72b688a722c,2014-10-08,1.0,,1.0,1.0,DE,,,,
10,00176283-1ebc-4ac0-b17c-cbfb92f0c037,2014-10-10,21.0,9.0,1.0,2.5,US,0.0,515.0,",Entire home/apt",",City Centre"
11,0017954c-1e58-4061-b671-f159809f2bb5,2014-10-14,2.0,7.0,3.0,3.0,US,,,,
12,00188588-e90b-4a22-83e5-f68232edac42,2014-10-14,3.0,2.0,2.0,2.0,IE,212.0,1073741823.0,Entire home/apt,
13,00197051-c6cb-4c3a-99e9-86615b819874,2014-10-14,13.0,3.0,1.0,1.0,DK,0.0,336.0,",Entire home/apt,Private room,Private room",
14,001c04f0-5a94-4ee0-bf5d-3591265256de,2014-10-01,1.0,,1.0,1.0,IE,,,,
15,0022c910-d4ba-460f-8b8a-070bb38d3a87,2014-10-06,20.0,3.0,4.0,4.0,NL,,,,
16,0027538e-aa9e-4a02-8979-b8397e5d4cba,"2014-10-09, 2014-10-10",32.5,2.0,2.0,2.0,CY,0.0,736.0,",Entire home/apt, ,Entire home/apt,Entire home/apt,Private room,Private room",
17,0031e4da-11f8-4017-8921-8cf991fff96e,2014-10-03,1.0,4.0,1.0,1.0,IE,,,"Entire home/apt,Private room",
18,0037c1e9-a98d-414e-a037-dfc4483a6415,2014-10-14,2.0,5.0,4.0,4.0,MT,,,",Entire home/apt",
19,00440a29-74b5-4113-b16f-54998e073476,2014-10-14,1.0,1.0,1.0,1.0,FR,,,,
20,0045d4df-5ac8-4a1e-8e7a-d22c4a8052c1,"2014-10-08, 2014-10-07",10.0,6.333333333333333,1.0,1.0,US,0.0,111.11111111111111,",Entire home/apt, Entire home/apt",
21,0045f108-8c50-4f5b-aa21-9299370df6f9,2014-10-05,8.0,2.0,2.5,2.5,GB,,,",Entire home/apt",
22,004c88fe-9722-4e68-9285-488e0b5d04a1,2014-10-11,12.5,1.0,1.0,4.0,ZA,0.0,85.0,",Entire home/apt, Entire home/apt",
23,004e88da-930b-4209-886f-b58f90fdc67e,2014-10-01,7.0,2.0,5.0,5.0,SE,,,,
24,00504466-c32a-48e1-bd3a-f6c7ff73febd,2014-10-06,5.0,2.0,5.0,6.0,US,0.0,304.0,",Entire home/apt",
25,0050e8b9-f769-427a-87a7-173d485d0ff5,2014-10-03,1.0,,1.0,1.0,US,,,,
26,005177f0-db43-4ff9-ae7f-f3788190efb9,2014-10-07,2.0,,1.0,1.0,DE,,,,
27,0056b47d-a56f-4351-b717-cad4426c3caf,2014-10-11,13.0,,1.0,16.0,IE,,,,
28,0058128c-c81b-469a-9c2e-8dce6d90f9c4,2014-10-03,2.0,,1.0,1.0,CN,,,,
29,00595b08-05a8-4dc4-ab28-9dc4452565bf,2014-10-14,4.0,14.0,1.0,1.0,IE,0.0,42.0,",Entire home/apt,Private room,Private room",
30,005c4c9d-d988-4b21-b031-41c73fa24beb,"2014-10-08, 2014-10-11, 2014-10-07, 2014-10-10",15.0,,1.75,2.5,IE,,,",Entire home/apt, Entire home/apt",
31,005d2718-9bd0-481e-af73-7473e5d957ef,2014-10-09,22.0,1.5,2.0,4.0,FR,0.0,127.0,",Entire home/apt",
32,00623353-97d2-43c9-ac02-1adfecf1aca6,2014-10-01,3.0,6.333333333333333,1.0,1.3333333333333333,IE,,,"Entire home/apt,Entire home/apt,Private room,Private room, Entire home/apt",
33,0068a240-ed8e-4c33-9884-0bff954fd29a,2014-10-07,9.0,4.0,2.0,2.0,BY,0.0,261.0,",Entire home/apt",
34,006b68ec-9374-4061-a954-6ae10f838b9e,"2014-10-04, 2014-10-02",7.25,1.0,1.5,2.0,GB,,,,
35,006c93e2-199f-4b35-a094-4176c43034be,2014-10-02,3.0,2.0,2.0,2.0,US,0.0,101.0,Private room,
36,00715178-f240-4ecb-acd8-fed0fdfefe94,2014-10-03,13.0,3.0,3.0,3.0,ZA,,,",Entire home/apt,Entire home/apt,Private room",
